speechID,session,nameOfHouse,nameOfMeeting,issue,date,year,speaker,speakerYomi,speakerGroup,speakerPosition,speakerRole,speechURL,meetingURL,pdfURL,keywords_matched,num_keywords,parties_canonical_str,has_joe_party
121315206X01620240606_116,213,参議院,法務委員会,第16号,2024-06-06,2024,伊藤孝江,いとうたかえ,公明党,,,https://kokkai.ndl.go.jp/txt/121315206X01620240606/116,https://kokkai.ndl.go.jp/txt/121315206X01620240606,https://kokkai.ndl.go.jp/img/121315206X01620240606/14,多文化共生,1,公明党,True
121304260X02120240529_176,213,衆議院,厚生労働委員会,第21号,2024-05-29,2024,武見敬三,たけみけいぞう,自由民主党,厚生労働大臣,,https://kokkai.ndl.go.jp/txt/121304260X02120240529/176,https://kokkai.ndl.go.jp/txt/121304260X02120240529,https://kokkai.ndl.go.jp/img/121304260X02120240529/29,多文化共生,1,自由民主党,True
121315206X01420240528_131,213,参議院,法務委員会,第14号,2024-05-28,2024,石川大我,いしかわたいが,立憲民主・社民,,,https://kokkai.ndl.go.jp/txt/121315206X01420240528/131,https://kokkai.ndl.go.jp/txt/121315206X01420240528,https://kokkai.ndl.go.jp/img/121315206X01420240528/17,多文化共生,1,立憲民主党;社会民主党,True
121314103X00720240520_197,213,参議院,決算委員会,第7号,2024-05-20,2024,宮崎桂,,,独立行政法人国際協力機構理事,参考人,https://kokkai.ndl.go.jp/txt/121314103X00720240520/197,https://kokkai.ndl.go.jp/txt/121314103X00720240520,https://kokkai.ndl.go.jp/img/121314103X00720240520/24,多文化共生,1,,False
121303968X01220240517_137,213,衆議院,外務委員会,第12号,2024-05-17,2024,上川陽子,かみかわようこ,自由民主党・無所属の会,外務大臣,,https://kokkai.ndl.go.jp/txt/121303968X01220240517/137,https://kokkai.ndl.go.jp/txt/121303968X01220240517,https://kokkai.ndl.go.jp/img/121303968X01220240517/14,多文化共生,1,自由民主党;無所属の会,True
121305206X01820240514_200,213,衆議院,法務委員会,第18号,2024-05-14,2024,糸井昌信,,,大泉国際交流協会会長,,https://kokkai.ndl.go.jp/txt/121305206X01820240514/200,https://kokkai.ndl.go.jp/txt/121305206X01820240514,https://kokkai.ndl.go.jp/img/121305206X01820240514/25,多文化共生,1,,False
121305206X01820240514_218,213,衆議院,法務委員会,第18号,2024-05-14,2024,臂泰雄,,,伊勢崎市長,,https://kokkai.ndl.go.jp/txt/121305206X01820240514/218,https://kokkai.ndl.go.jp/txt/121305206X01820240514,https://kokkai.ndl.go.jp/img/121305206X01820240514/32,多文化共生,1,,False
121305206X01820240514_220,213,衆議院,法務委員会,第18号,2024-05-14,2024,新井薫,,,群馬県地域創生部長,,https://kokkai.ndl.go.jp/txt/121305206X01820240514/220,https://kokkai.ndl.go.jp/txt/121305206X01820240514,https://kokkai.ndl.go.jp/img/121305206X01820240514/33,多文化共生,1,,False
121305206X01820240514_223,213,衆議院,法務委員会,第18号,2024-05-14,2024,新井薫,,,群馬県地域創生部長,,https://kokkai.ndl.go.jp/txt/121305206X01820240514/223,https://kokkai.ndl.go.jp/txt/121305206X01820240514,https://kokkai.ndl.go.jp/img/121305206X01820240514/33,多文化共生,1,,False
121305206X01720240508_087,213,衆議院,法務委員会,第17号,2024-05-08,2024,鎌田さゆり,かまたさゆり,立憲民主党・無所属,,,https://kokkai.ndl.go.jp/txt/121305206X01720240508/87,https://kokkai.ndl.go.jp/txt/121305206X01720240508,https://kokkai.ndl.go.jp/img/121305206X01720240508/14,多文化共生,1,立憲民主党;無所属,True
