period,period_date,pref_code,prefecture,status_code,residence_status,n_residents,is_unknown_pref
2016-12,2016-12-31,13,東京都,08,高度専門職１号ロ,1618,False
2016-12,2016-12-31,13,東京都,09,高度専門職１号ハ,112,False
2016-12,2016-12-31,13,東京都,10,高度専門職２号,33,False
2016-12,2016-12-31,13,東京都,11,経営・管理,9242,False
2016-12,2016-12-31,13,東京都,12,法律・会計業務,139,False
2016-12,2016-12-31,13,東京都,13,医療,240,False
2016-12,2016-12-31,13,東京都,14,研究,363,False
2016-12,2016-12-31,13,東京都,15,教育,1811,False
2016-12,2016-12-31,13,東京都,16,技術・人文知識・国際業務,61367,False
2016-12,2016-12-31,13,東京都,17,企業内転勤,5909,False
2016-12,2016-12-31,13,東京都,19,興行,340,False
2016-12,2016-12-31,13,東京都,20,技能,13684,False
2016-12,2016-12-31,13,東京都,23,技能実習１号イ,72,False
2016-12,2016-12-31,13,東京都,24,技能実習１号ロ,2693,False
2016-12,2016-12-31,13,東京都,25,技能実習２号イ,8,False
2016-12,2016-12-31,13,東京都,26,技能実習２号ロ,2996,False
2016-12,2016-12-31,13,東京都,29,文化活動,724,False
2016-12,2016-12-31,13,東京都,31,留学,100135,False
2016-12,2016-12-31,13,東京都,32,研修,159,False
2016-12,2016-12-31,13,東京都,33,家族滞在,51589,False
2016-12,2016-12-31,13,東京都,34,特定活動,12674,False
2016-12,2016-12-31,13,東京都,35,永住者,133457,False
2016-12,2016-12-31,13,東京都,36,日本人の配偶者等,26659,False
2016-12,2016-12-31,13,東京都,37,永住者の配偶者等,6122,False
2016-12,2016-12-31,13,東京都,38,定住者,20728,False
2016-12,2016-12-31,13,東京都,39,特別永住者,44388,False
2016-12,2016-12-31,14,神奈川県,03,教授,342,False
2016-12,2016-12-31,14,神奈川県,04,芸術,17,False
2016-12,2016-12-31,14,神奈川県,05,宗教,210,False
2016-12,2016-12-31,14,神奈川県,06,報道,6,False
2016-12,2016-12-31,14,神奈川県,07,高度専門職１号イ,55,False
2016-12,2016-12-31,14,神奈川県,08,高度専門職１号ロ,465,False
2016-12,2016-12-31,14,神奈川県,09,高度専門職１号ハ,6,False
2016-12,2016-12-31,14,神奈川県,10,高度専門職２号,13,False
2016-12,2016-12-31,14,神奈川県,11,経営・管理,1703,False
2016-12,2016-12-31,14,神奈川県,12,法律・会計業務,3,False
2016-12,2016-12-31,14,神奈川県,13,医療,169,False
2016-12,2016-12-31,14,神奈川県,14,研究,222,False
2016-12,2016-12-31,14,神奈川県,15,教育,727,False
