period,period_date,pref_code,prefecture,n_residents
2023-06,2023-06-30,26,京都府,71775
2023-06,2023-06-30,27,大阪府,285272
2023-06,2023-06-30,28,兵庫県,127090
2023-06,2023-06-30,29,奈良県,16420
2023-06,2023-06-30,30,和歌山県,8379
2023-06,2023-06-30,31,鳥取県,5274
2023-06,2023-06-30,32,島根県,9945
2023-06,2023-06-30,33,岡山県,33522
2023-06,2023-06-30,34,広島県,58954
2023-06,2023-06-30,35,山口県,18391
2023-06,2023-06-30,36,徳島県,7343
2023-06,2023-06-30,37,香川県,16319
2023-06,2023-06-30,38,愛媛県,15054
2023-06,2023-06-30,39,高知県,5663
2023-06,2023-06-30,40,福岡県,93312
2023-06,2023-06-30,41,佐賀県,8792
2023-06,2023-06-30,42,長崎県,12011
2023-06,2023-06-30,43,熊本県,22318
2023-06,2023-06-30,44,大分県,16936
2023-06,2023-06-30,45,宮崎県,8781
2023-06,2023-06-30,46,鹿児島県,14855
2023-06,2023-06-30,47,沖縄県,23019
2023-12,2023-12-31,01,北海道,56485
2023-12,2023-12-31,02,青森県,7797
2023-12,2023-12-31,03,岩手県,10173
2023-12,2023-12-31,04,宮城県,27009
2023-12,2023-12-31,05,秋田県,5280
2023-12,2023-12-31,06,山形県,9326
2023-12,2023-12-31,07,福島県,18070
2023-12,2023-12-31,08,茨城県,91694
2023-12,2023-12-31,09,栃木県,51073
2023-12,2023-12-31,10,群馬県,74154
2023-12,2023-12-31,11,埼玉県,234698
2023-12,2023-12-31,12,千葉県,204091
2023-12,2023-12-31,13,東京都,663362
2023-12,2023-12-31,14,神奈川県,267523
2023-12,2023-12-31,15,新潟県,21558
2023-12,2023-12-31,16,富山県,22460
2023-12,2023-12-31,17,石川県,19407
2023-12,2023-12-31,18,福井県,17595
2023-12,2023-12-31,19,山梨県,21502
2023-12,2023-12-31,20,長野県,43075
2023-12,2023-12-31,21,岐阜県,69477
2023-12,2023-12-31,22,静岡県,115642
2023-12,2023-12-31,23,愛知県,310845
2023-12,2023-12-31,24,三重県,64420
2023-12,2023-12-31,25,滋賀県,40743
2023-12,2023-12-31,26,京都府,75818
2023-12,2023-12-31,27,大阪府,301490
2023-12,2023-12-31,28,兵庫県,131756
2023-12,2023-12-31,29,奈良県,17614
2023-12,2023-12-31,30,和歌山県,9090
2023-12,2023-12-31,31,鳥取県,5604
2023-12,2023-12-31,32,島根県,10350
2023-12,2023-12-31,33,岡山県,35928
2023-12,2023-12-31,34,広島県,62363
2023-12,2023-12-31,35,山口県,19622
2023-12,2023-12-31,36,徳島県,7949
2023-12,2023-12-31,37,香川県,17312
2023-12,2023-12-31,38,愛媛県,16384
2023-12,2023-12-31,39,高知県,6129
2023-12,2023-12-31,40,福岡県,99695
2023-12,2023-12-31,41,佐賀県,9764
2023-12,2023-12-31,42,長崎県,13590
2023-12,2023-12-31,43,熊本県,25589
2023-12,2023-12-31,44,大分県,18108
2023-12,2023-12-31,45,宮崎県,9752
2023-12,2023-12-31,46,鹿児島県,16417
2023-12,2023-12-31,47,沖縄県,25447
2024-06,2024-06-30,01,北海道,60273
2024-06,2024-06-30,02,青森県,8045
2024-06,2024-06-30,03,岩手県,10644
2024-06,2024-06-30,04,宮城県,28330
2024-06,2024-06-30,05,秋田県,5571
2024-06,2024-06-30,06,山形県,10058
2024-06,2024-06-30,07,福島県,18936
2024-06,2024-06-30,08,茨城県,97038
2024-06,2024-06-30,09,栃木県,54493
2024-06,2024-06-30,10,群馬県,79470
2024-06,2024-06-30,11,埼玉県,249327
2024-06,2024-06-30,12,千葉県,219131
2024-06,2024-06-30,13,東京都,701955
2024-06,2024-06-30,14,神奈川県,280020
2024-06,2024-06-30,15,新潟県,22139
2024-06,2024-06-30,16,富山県,23382
2024-06,2024-06-30,17,石川県,20234
2024-06,2024-06-30,18,福井県,18937
2024-06,2024-06-30,19,山梨県,22547
