election_id,election_year,election_date,election_type,pref_code,prefecture,share_公明党,share_参政党,share_国民民主党,share_希望の党,share_日本共産党,share_日本維新の会,share_次世代の党,share_民主党,share_民進党,share_立憲民主党,share_維新の党,share_自由民主党,treat_period,foreign_total,foreign_growth_yoy,by_status_intern_low_skill,by_status_long_term,by_status_other,by_status_other_work,by_status_permanent,by_status_skilled_specialist,by_status_specified_skilled,by_status_spouse_japanese,by_status_student
2014_shugiin,2014,2014-12-14,shugiin_pr,31,鳥取県,17.754480068267707,,,,9.182006582957454,,1.9935795847047828,22.328416433012315,,,9.301881425494738,39.439635905563,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,32,島根県,16.058242198466345,,,,10.127404809145135,,1.9039748155484968,17.573599225287914,,,10.383539260806067,43.95323969074604,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,33,岡山県,18.415124232511257,,,,9.569758903922121,,5.640006000426346,17.290570645809044,,,15.16239311740571,33.92214709992552,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,34,広島県,16.660119740395384,,,,9.820298266416454,,4.051468865947811,17.56642092148519,,,14.072458524234715,37.82923368152044,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,35,山口県,16.622418583527026,,,,8.356709679142957,,1.7966391493681708,15.865859848788439,,,11.498991477652213,45.8593812615212,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,36,徳島県,17.436170138816482,,,,10.47970582306286,,1.9400941199368824,21.679561237044606,,,14.353985499690669,34.1104831814485,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,37,香川県,15.233674465851404,,,,7.138387749598783,,2.0716666273958473,24.256014325994926,,,10.96258014519731,40.33767668596173,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,38,愛媛県,15.608699313881665,,,,7.055783624546873,,4.618621061628801,20.31368993328758,,,16.22367923564733,36.17952683100775,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,39,高知県,17.54000690670252,,,,20.805267869416383,,1.7585269277579034,19.584860239857036,,,9.109806511746424,31.201531544519735,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,40,福岡県,20.626544198052066,,,,10.94923902241772,,2.2143136399982626,16.858848432486468,,,14.39580058574278,34.95525412130271,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,41,佐賀県,14.121669268782567,,,,5.745417029087905,,1.4962395080766202,28.827785658820076,,,10.009137131050604,39.799751404182224,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,42,長崎県,19.09410972948621,,,,7.89961085021534,,1.8710336478296417,23.846965317651158,,,11.409745615807749,35.8785348390099,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,43,熊本県,19.027524795568844,,,,8.640067015856644,,2.2735606347427133,14.916096028237286,,,15.76258857689682,39.380162948697695,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,44,大分県,18.001351975423496,,,,8.910544292811998,,1.9324770822317858,20.284093317537977,,,12.40113958588502,38.47039374610973,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,45,宮崎県,19.34052423808746,,,,9.070433087126489,,3.8266114702294622,13.30693573328979,,,13.143891733020851,41.31160373824594,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,46,鹿児島県,18.428021013552197,,,,7.783404592890025,,1.7141721616169898,15.767418900526284,,,15.17883756763875,41.128145763775755,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,47,沖縄県,20.00036107437681,,,,17.98849978109866,,1.4467798935733274,11.20797432761181,,,17.43583031309662,31.920554610242778,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,01,北海道,13.41,,,,11.44,,,,30.62,,,32.82,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,02,青森県,12.76,,,,8.92,,,,24.61,,,40.44,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,03,岩手県,8.61,,,,11.24,,,,22.44,,,34.9,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,04,宮城県,13.42,,,,9.99,,,,25.4,,,36.68,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,05,秋田県,11.19,,,,7.56,,,,22.72,,,43.46,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,06,山形県,11.78,,,,7.6,,,,21.47,,,42.49,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,07,福島県,10.96,,,,10.45,,,,28.31,,,33.82,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,08,茨城県,15.05,,,,10.07,,,,18.95,,,40.64,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,09,栃木県,12.42,,,,7.0,,,,21.63,,,38.78,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,10,群馬県,13.85,,,,10.0,,,,19.31,,,42.06,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,11,埼玉県,16.0,,,,13.94,,,,20.4,,,32.3,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,12,千葉県,13.98,,,,11.34,,,,21.7,,,37.79,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,13,東京都,11.44,,,,14.21,,,,19.76,,,34.37,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,14,神奈川県,12.18,,,,12.46,,,,21.49,,,34.92,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,15,新潟県,8.27,,,,8.0,,,,25.25,,,43.66,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,16,富山県,9.81,,,,5.79,,,,24.22,,,44.16,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,17,石川県,11.0,,,,7.07,,,,18.54,,,48.09,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,18,福井県,10.91,,,,5.66,,,,17.52,,,45.29,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,19,山梨県,12.83,,,,9.2,,,,28.04,,,37.36,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,20,長野県,10.7,,,,12.61,,,,27.69,,,35.27,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,21,岐阜県,12.33,,,,9.41,,,,23.62,,,39.71,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,22,静岡県,12.68,,,,9.59,,,,24.13,,,37.47,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,23,愛知県,11.67,,,,9.55,,,,29.27,,,34.32,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,24,三重県,13.07,,,,7.59,,,,34.23,,,33.67,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,25,滋賀県,9.57,,,,11.44,,,,22.25,,,37.85,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,26,京都府,12.25,,,,18.5,,,,19.93,,,31.18,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,27,大阪府,16.39,,,,11.37,,,,9.3,,,22.12,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,28,兵庫県,15.37,,,,10.3,,,,15.84,,,31.71,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,29,奈良県,13.44,,,,9.17,,,,18.41,,,33.51,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,30,和歌山県,18.0,,,,10.43,,,,12.1,,,39.61,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,31,鳥取県,16.71,,,,7.14,,,,20.93,,,41.62,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,32,島根県,13.43,,,,7.5,,,,19.14,,,48.24,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,33,岡山県,17.18,,,,7.87,,,,19.91,,,37.87,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,34,広島県,15.2,,,,8.52,,,,18.53,,,39.93,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,35,山口県,16.5,,,,7.39,,,,17.27,,,46.75,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,36,徳島県,16.87,,,,9.1,,,,17.72,,,38.44,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,37,香川県,15.14,,,,7.56,,,,16.6,,,44.07,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,38,愛媛県,14.82,,,,6.97,,,,19.28,,,43.57,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,39,高知県,15.83,,,,17.41,,,,16.95,,,37.01,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,40,福岡県,17.15,,,,10.78,,,,19.08,,,36.52,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,41,佐賀県,15.48,,,,5.67,,,,21.1,,,43.53,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,42,長崎県,16.86,,,,6.27,,,,20.68,,,41.7,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,43,熊本県,15.27,,,,6.32,,,,19.29,,,46.54,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,44,大分県,13.26,,,,6.85,,,,18.37,,,39.44,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,45,宮崎県,17.11,,,,7.27,,,,14.5,,,40.11,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,46,鹿児島県,14.49,,,,6.52,,,,16.19,,,45.97,,,,,,,,,,,,
2016_sangiin,2016,2016-07-10,sangiin_pr,47,沖縄県,15.09,,,,15.64,,,,13.29,,,27.82,,,,,,,,,,,,
2017_shugiin,2017,2017-10-22,shugiin_pr,01,北海道,12.292073900735614,,,13.646135756948985,9.48197356265243,3.0753960085434757,,,,29.396275321244897,,32.1081454498746,2016-12,28869,,0.0,1783.0,17987.0,168.0,1497.0,2622.0,89.0,3720.0,1003.0
2017_shugiin,2017,2017-10-22,shugiin_pr,02,青森県,11.182336307664695,,,21.08437868968709,8.625267681024516,2.594900291567762,,,,15.934697267498024,,40.578419762557914,2016-12,4568,,0.0,156.0,3267.0,10.0,345.0,344.0,10.0,355.0,81.0
