election_id,election_type,election_date,election_year,pref_code,prefecture,party,votes,vote_share_pct,treat_period,foreign_total,foreign_total_year_ago,foreign_growth_yoy,by_status_intern_low_skill,by_status_long_term,by_status_other,by_status_other_work,by_status_permanent,by_status_skilled_specialist,by_status_specified_skilled,by_status_spouse_japanese,by_status_student,restrictive_score
2013_sangiin,sangiin_pr,2013-07-21,2013,35,山口県,公明党,95525.619,16.44,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,36,徳島県,自由民主党,111547.332,36.09,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,36,徳島県,民主党,49483.264,16.01,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,36,徳島県,日本維新の会,36191.997,11.71,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,36,徳島県,公明党,56009.599,18.12,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,37,香川県,自由民主党,183656.472,44.06,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,37,香川県,民主党,44137.595,10.59,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,37,香川県,日本維新の会,43949.633,10.54,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,37,香川県,公明党,64282.523,15.42,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,38,愛媛県,自由民主党,232283.207,41.0,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,38,愛媛県,民主党,57207.428,10.1,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,38,愛媛県,日本維新の会,55041.934,9.72,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,38,愛媛県,公明党,104142.137,18.38,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,39,高知県,自由民主党,104555.859,34.82,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,39,高知県,民主党,44073.204,14.68,,,,,,,,,,,,,,-1.0
