year,prefecture,house,n_speeches,pct_pro,pct_anti,pct_neutral,stance_score_mean,pct_switcher_speeches
2018,愛媛県,衆議院,1,100.0,0.0,0.0,1.0,0.0
2018,愛知県,参議院,13,7.7,15.4,76.9,-0.077,0.0
2018,愛知県,衆議院,45,6.7,48.9,44.4,-0.422,4.4
2018,新潟県,衆議院,17,5.9,41.2,52.9,-0.353,100.0
2018,東京都,参議院,50,12.0,52.0,36.0,-0.4,6.0
2018,東京都,衆議院,5,20.0,0.0,80.0,0.2,0.0
2018,沖縄県,参議院,41,4.9,36.6,58.5,-0.317,100.0
2018,滋賀県,参議院,7,71.4,14.3,14.3,0.571,0.0
2018,石川県,参議院,1,100.0,0.0,0.0,1.0,100.0
2018,神奈川県,参議院,13,15.4,53.8,30.8,-0.385,61.5
2018,神奈川県,衆議院,14,0.0,57.1,42.9,-0.571,14.3
2018,福井県,衆議院,1,0.0,100.0,0.0,-1.0,0.0
2018,福岡県,参議院,14,28.6,35.7,35.7,-0.071,57.1
2018,福岡県,衆議院,4,0.0,25.0,75.0,-0.25,0.0
2018,福島県,参議院,34,23.5,5.9,70.6,0.176,0.0
2018,福島県,衆議院,24,8.3,12.5,79.2,-0.042,12.5
2018,秋田県,衆議院,1,0.0,100.0,0.0,-1.0,0.0
2018,群馬県,参議院,1,0.0,0.0,100.0,0.0,0.0
2018,群馬県,衆議院,20,15.0,35.0,50.0,-0.2,0.0
2018,茨城県,参議院,9,11.1,0.0,88.9,0.111,55.6
2018,茨城県,衆議院,26,30.8,11.5,57.7,0.192,30.8
2018,長崎県,参議院,1,0.0,0.0,100.0,0.0,100.0
2018,青森県,参議院,4,25.0,0.0,75.0,0.25,100.0
2018,静岡県,参議院,9,22.2,11.1,66.7,0.111,0.0
2018,静岡県,衆議院,34,17.6,20.6,61.8,-0.029,70.6
2018,香川県,衆議院,2,0.0,50.0,50.0,-0.5,0.0
2018,鹿児島県,衆議院,3,0.0,0.0,100.0,0.0,0.0
2019,京都府,参議院,2,50.0,50.0,0.0,0.0,100.0
2019,京都府,衆議院,7,0.0,85.7,14.3,-0.857,0.0
2019,佐賀県,参議院,6,0.0,66.7,33.3,-0.667,100.0
2019,佐賀県,衆議院,1,0.0,0.0,100.0,0.0,0.0
2019,全国,参議院,209,5.7,45.0,49.3,-0.392,26.3
2019,全国,衆議院,254,14.2,38.2,47.6,-0.24,29.1
2019,兵庫県,参議院,35,8.6,17.1,74.3,-0.086,0.0
2019,北海道,参議院,18,33.3,27.8,38.9,0.056,11.1
2019,北海道,衆議院,11,18.2,27.3,54.5,-0.091,54.5
2019,千葉県,参議院,11,9.1,0.0,90.9,0.091,27.3
2019,千葉県,衆議院,20,5.0,15.0,80.0,-0.1,0.0
2019,埼玉県,参議院,19,10.5,5.3,84.2,0.053,0.0
2019,埼玉県,衆議院,20,10.0,20.0,70.0,-0.1,30.0
2019,大分県,参議院,3,0.0,66.7,33.3,-0.667,0.0
2019,大分県,衆議院,1,0.0,0.0,100.0,0.0,0.0
2019,大阪府,参議院,2,50.0,0.0,50.0,0.5,50.0
2019,大阪府,衆議院,16,6.2,37.5,56.2,-0.312,62.5
2019,宮城県,参議院,32,12.5,31.2,56.2,-0.188,0.0
2019,宮崎県,参議院,3,100.0,0.0,0.0,1.0,100.0
2019,富山県,参議院,1,0.0,0.0,100.0,0.0,0.0
2019,富山県,衆議院,1,0.0,0.0,100.0,0.0,0.0
2019,山口県,参議院,9,44.4,0.0,55.6,0.444,0.0
2019,山口県,衆議院,3,33.3,0.0,66.7,0.333,0.0
2019,山形県,参議院,2,0.0,50.0,50.0,-0.5,0.0
2019,山梨県,衆議院,1,0.0,0.0,100.0,0.0,0.0
2019,岡山県,参議院,95,16.8,9.5,73.7,0.074,0.0
2019,岡山県,衆議院,59,10.2,1.7,88.1,0.085,0.0
2019,岩手県,衆議院,13,0.0,46.2,53.8,-0.462,0.0
2019,島根県,参議院,1,100.0,0.0,0.0,1.0,100.0
2019,広島県,参議院,4,25.0,0.0,75.0,0.25,25.0
2019,広島県,衆議院,14,14.3,0.0,85.7,0.143,35.7
2019,徳島県,衆議院,1,0.0,0.0,100.0,0.0,100.0
2019,愛知県,参議院,5,0.0,40.0,60.0,-0.4,0.0
2019,愛知県,衆議院,14,7.1,35.7,57.1,-0.286,0.0
2019,新潟県,参議院,3,0.0,0.0,100.0,0.0,0.0
2019,新潟県,衆議院,3,0.0,33.3,66.7,-0.333,100.0
2019,東京都,参議院,34,8.8,41.2,50.0,-0.324,38.2
2019,東京都,衆議院,6,33.3,16.7,50.0,0.167,16.7
2019,栃木県,衆議院,2,0.0,0.0,100.0,0.0,0.0
2019,沖縄県,参議院,30,6.7,23.3,70.0,-0.167,93.3
2019,沖縄県,衆議院,1,0.0,0.0,100.0,0.0,0.0
2019,滋賀県,衆議院,1,0.0,0.0,100.0,0.0,0.0
2019,石川県,衆議院,10,30.0,60.0,10.0,-0.3,90.0
2019,神奈川県,参議院,5,0.0,20.0,80.0,-0.2,0.0
2019,神奈川県,衆議院,21,9.5,47.6,42.9,-0.381,4.8
2019,福井県,衆議院,1,0.0,0.0,100.0,0.0,0.0
2019,福岡県,参議院,4,25.0,25.0,50.0,0.0,0.0
2019,福岡県,衆議院,12,8.3,16.7,75.0,-0.083,0.0
2019,福島県,参議院,18,27.8,27.8,44.4,0.0,55.6
2019,福島県,衆議院,35,22.9,8.6,68.6,0.143,2.9
2019,群馬県,衆議院,4,25.0,25.0,50.0,0.0,50.0
2019,茨城県,参議院,3,0.0,33.3,66.7,-0.333,100.0
2019,茨城県,衆議院,18,16.7,11.1,72.2,0.056,61.1
2019,長崎県,衆議院,2,0.0,0.0,100.0,0.0,50.0
2019,長野県,衆議院,11,9.1,18.2,72.7,-0.091,0.0
2019,青森県,参議院,2,0.0,50.0,50.0,-0.5,100.0
2019,静岡県,参議院,2,0.0,100.0,0.0,-1.0,0.0
2019,静岡県,衆議院,24,0.0,33.3,66.7,-0.333,95.8
2019,香川県,参議院,1,100.0,0.0,0.0,1.0,0.0
2019,香川県,衆議院,1,0.0,100.0,0.0,-1.0,0.0
2019,鳥取県,衆議院,4,25.0,25.0,50.0,0.0,0.0
2019,鹿児島県,衆議院,2,100.0,0.0,0.0,1.0,0.0
2020,三重県,参議院,1,100.0,0.0,0.0,1.0,0.0
2020,三重県,衆議院,3,33.3,0.0,66.7,0.333,0.0
2020,京都府,参議院,1,0.0,0.0,100.0,0.0,0.0
2020,京都府,衆議院,1,0.0,0.0,100.0,0.0,100.0
2020,佐賀県,衆議院,1,0.0,0.0,100.0,0.0,0.0
2020,全国,参議院,77,20.8,23.4,55.8,-0.026,18.2
2020,全国,衆議院,55,16.4,23.6,60.0,-0.073,38.2
2020,兵庫県,参議院,4,25.0,0.0,75.0,0.25,75.0
2020,兵庫県,衆議院,5,0.0,0.0,100.0,0.0,0.0
2020,北海道,参議院,5,40.0,20.0,40.0,0.2,20.0
